Id,Last Update,Request,Ride Id,Rider Id,Rider Status,# pax,Origin Lat,Origin Lng,Origin Address,Destination Lat,Destination Lng,Destination Address,Err Statement,City
822545,10/31/2019 11:17:11,1572531429.59,,55501,,1,-16.7170468594,-49.2387475446,|Rua Recife, Goiania|,-16.7272012559,-49.2790071666,|Rua Tambuqui - Parque Amazonia, Goiania - GO|,,GYN
822544,10/31/2019 11:17:08,1572531425.76,,41863,,1,-16.7173442037,-49.2625897005,|Rua T 65, 25, Goiania|,-16.6897479788,-49.2748484015,|Avenida T-007, 8, Goiania|,,GYN
822543,10/31/2019 11:17:06,1572531424.38,,4942,,1,-16.6720882855,-49.2624381557,|Avenida Paranaiba Q 117 117, Goias|,-16.6924101,-49.2371251,|Pontificia Universidade Catolica de Goias - Campus V - Avenida Fued Jose Sebba - Jardim Goias, Goiania - GO|,,GYN
822542,10/31/2019 11:16:59,1572531416.28,,47991,,1,-16.678316865,-49.259031415,|PROCON GOIANIA - Superintendencia de Defesa do Consumidor - Avenida Tocantins - Setor Central, Goiania - GO|,-16.7123040599,-49.2378637567,|Rua Terezina - Alto da Gloria, Goiania - GO|,,GYN
822540,10/31/2019 11:16:45,1572531403.5,,35811,,1,-16.6721929908,-49.2532529309,|Rua 4, 0064000, Goiania|,-16.7108815181,-49.2342826724,|Avenida 105 - A, 0B37000, Goiania|,,GYN
822539,10/31/2019 11:16:39,1572531396.91,,9401,,1,-16.6888731581,-49.2375492677,|Rua 2 Q A18, 326, Goiania|,-16.6820758187,-49.2437166721,|Posto Petro Bessa 24 Hr - Rua 242 - Setor Leste Universitario, Goiania - GO|,,GYN
822538,10/31/2019 11:16:19,1572531377.15,,42388,,1,-16.6713961373,-49.2638007179,|Avenida Oeste 189, Goias|,-16.6724865507,-49.2350300029,|Rua 261 42, Goias|,,GYN
822537,10/31/2019 11:16:16,1572531373.97,,59045,None,1,-16.6756588316,-49.2563357949,|Rua 3 623, Goias|,-16.6876791048,-49.2725390196,|Avenida T-7 38, Goias|,,GYN
822535,10/31/2019 11:16:15,1572531372.67,,17874,,1,-16.6782914924,-49.2437927797,|Praca Universitaria 2102, Goias|,-16.7180175614,-49.2671585083,|Avenida T-4 1268, Goias|,,GYN
822533,10/31/2019 11:14:49,1572531286.24,,886,,1,-16.7142583516,-49.2696177587,|Avenida T 63, 24, Goiania|,-16.6858417641,-49.2556873709,|Rua Noventa e Quatro - C, 9, Goiania|,,GYN
822532,10/31/2019 11:13:41,1572531219.46,,33,None,1,-16.691359,-49.264922,,-16.70058,-49.275962,,,GYN
822531,10/31/2019 11:13:26,1572531203.71,,14871,,1,-16.704995358,-49.2735254019,|Rua T-033, 10, Goiania|,-16.6771522937,-49.2694819719,|Lavajato Master - Rua 6-A - Setor Aeroporto, Goiania - State of Goias|,,GYN
