Id,Last Update,Request,Ride Id,Rider Id,Rider Status,# pax,Origin Lat,Origin Lng,Origin Address,Destination Lat,Destination Lng,Destination Address,Err Statement,City
679000,10/08/2019 08:04:05,1570532641.3,,45673,,1,-16.7086128151,-49.2670435086,|Avenida T-4 85, Goias|,-16.6780827308,-49.264786765,|Avenida B 31, Goias|,,GYN
678999,10/08/2019 08:04:04,1570532639.24,,12673,,1,-16.7125750802,-49.2731230706,|Rua C-249 100, Goias|,-16.6787860959,-49.2443875596,|1a Avenida 500, Goias|,,GYN
678998,10/08/2019 08:03:44,1570532619.73,,47328,,1,-16.7054815431,-49.2440231144,|Rua Ciclovia 20, Goias|,-16.6602591113,-49.2558935657,|Mega Moda Park - Avenida Contorno - Setor Norte Ferroviario, Goiania - GO|,,GYN
678997,10/08/2019 08:03:32,1570532606.22,,12673,,1,-16.7125750802,-49.2731230706,|Rua C-249 100, Goias|,-16.6787860959,-49.2443875596,|1a Avenida 500, Goias|,,GYN
678996,10/08/2019 08:03:22,1570532597.96,,25820,,1,-16.6785622398,-49.2377259582,|Avenida Decima Primeira Av Q 95 1143, Goias|,-16.6889357831,-49.2653000727,|Unnamed Road, Goias|,,GYN
678995,10/08/2019 08:02:37,1570532551.59,,31412,,1,-16.6784485452,-49.27070003,|Rua 9-A - Setor Oeste, Goiania - GO|,-16.6857675764,-49.2547472566,|Rua 84 - Setor Sul, Goiania - GO|,,GYN
678994,10/08/2019 08:02:22,1570532537.34,,12673,,1,-16.7125750802,-49.2731230706,|Rua C-249 100, Goias|,-16.6787860959,-49.2443875596,|1a Avenida 500, Goias|,,GYN
678993,10/08/2019 08:01:49,1570532504.1,,24769,,1,-16.7166014844,-49.2717128992,|Rua C-259 441, Goias|,-16.6817954414,-49.2544287443,|Rua 83 Q 15 179, Goias|,,GYN
678992,10/08/2019 08:01:46,1570532503.14,,16362,,1,-16.6932125379,-49.2381859571,|Rua 23 Q A13 447, Goias|,-16.7146738688,-49.2655793577,|Rua T-37 3463, Goias|,,GYN
678991,10/08/2019 08:01:41,1570532497.95,,21486,,1,-16.6973960666,-49.2420560494,|Rua 58, 230 - Jardim Goias|,-16.682624368,-49.2529169843,|Pharmacia Therapeutica - Rua 83 - Setor Sul, Goiania - GO|,,GYN
