Id,Last Update,Request,Ride Id,Rider Id,Rider Status,# pax,Origin Lat,Origin Lng,Origin Address,Destination Lat,Destination Lng,Destination Address,Err Statement,City
684301,10/08/2019 18:29:47,1570570182.33,,45670,,1,-16.7010717927,-49.2733228952,|Avenida T 2, 20, Goiania|,-16.6892691402,-49.249048233,|Tv. 110, 223-187 - St. Sul|,,GYN
684300,10/08/2019 18:29:44,1570570179.35,,11527,,1,-16.672884815,-49.2342400923,|Rua Duzentos e Sessenta e Dois, 000C000, Goiania|,-16.7047792397,-49.2712264135,|IESB - Setor Bueno - Goiania - Avenida T-2 - Setor Bueno, Goiania - GO|,,GYN
684299,10/08/2019 18:29:39,1570570176.44,,53046,,14,-16.7094592869,-49.2608439177,|Heliporto da Policia Federal - St. Marista, Goiania - GO, 74175-120, Brasil|,-16.6786117001,-49.2439915985,|Avenida Primeira Avenida, Goiania|,,GYN
684298,10/08/2019 18:29:37,1570570174.31,,19218,None,1,-16.7347190911,-49.277022332,|Avenida Antonio Fidelis - Parque Amazonia, Goiania - GO|,-16.6983768,-49.2641667,|Crool Centro Odontologico - Avenida 85 - Setor Marista, Goiania - GO|,,GYN
684297,10/08/2019 18:29:38,1570570173.01,,38138,,3,-16.6756443786,-49.2521652952,|Rua 21 389, Goias|,-16.6940221463,-49.2672852427,|Mastrella Confeitaria Artesanal - Rua 13 - Setor Marista, Goiania - GO|,,GYN
684296,10/08/2019 18:29:34,1570570169.3,,11377,None,1,-16.6730836257,-49.2695238814,|Rua 18-A 477, Goias|,-16.7172119,-49.2645001,|Mau Nenhum - Rua T-65 - Setor Bueno, Goiania - GO|,,GYN
684295,10/08/2019 18:29:13,1570570149.68,,25027,,1,-16.6921932164,-49.235980846,|Rua Trinta e Sete, Goiania|,-16.6774869561,-49.238817282,|Residencial Montella - 9 - Setor Leste Universitario, Goiania - GO|,,GYN
684294,10/08/2019 18:29:09,1570570143.7,,44240,,1,-16.707896715,-49.266076237,|Rua T-037, 16, Goiania|,-16.6772586021,-49.2377031595,|Rua 259 - Setor Leste Universitario, Goiania - GO|,,GYN
684293,10/08/2019 18:28:59,1570570135.4,,53046,,1,-16.7094592869,-49.2608439177,|Heliporto da Policia Federal - St. Marista, Goiania - GO, 74175-120, Brasil|,-16.6786117001,-49.2439915985,|Avenida Primeira Avenida, Goiania|,,GYN
684292,10/08/2019 18:28:55,1570570131.66,,19218,None,1,-16.7347190911,-49.277022332,|Avenida Antonio Fidelis - Parque Amazonia, Goiania - GO|,-16.6983768,-49.2641667,|Crool Centro Odontologico - Avenida 85 - Setor Marista, Goiania - GO|,,GYN
684291,10/08/2019 18:28:55,1570570130.24,,11377,None,1,-16.6730836257,-49.2695238814,|Rua 18-A 477, Goias|,-16.7168394246,-49.2638644204,|Rua S-1 470, Goias|,,GYN
