Id,Last Update,Request,Ride Id,Rider Id,Rider Status,# pax,Origin Lat,Origin Lng,Origin Address,Destination Lat,Destination Lng,Destination Address,Err Statement,City
701717,10/10/2019 09:09:03,1570709339.18,,25938,,1,-16.678716723,-49.2451198027,|1a Avenida 597, Goias|,-16.6996860979,-49.2510642484,|Marista Engenharia - Rua 122 - Setor Sul, Goiania - GO|,,GYN
701716,10/10/2019 09:09:02,1570709338.95,,41316,,1,-16.7288346299,-49.275605455,|Avenida Aruma Q 176 382, Goias|,-16.6952290057,-49.2652930319,|Shopping Bougainville - Rua 9 - Setor Marista, Goiania - GO|,,GYN
701715,10/10/2019 09:08:56,1570709333.47,,14600,None,1,-16.676747936,-49.2554003745,|Avenida Araguaia 240, Goias|,-16.7151301661,-49.2515017837,|Avenida Circular Q 117 693, Goias|,,GYN
701714,10/10/2019 09:08:40,1570709317.56,,51459,,1,-16.6742446888,-49.2602323741,|Rua 9, n.671 - Setor Central|,-16.694248,-49.233714,|SECOVIGOIAS - Jardim Goias, Goiania - GO|,,GYN
701713,10/10/2019 09:08:39,1570709315.35,,41316,,1,-16.7287521106,-49.2753057182,|Tron Informatica, Matriz - Avenida Aruma - Parque Amazonia|,-16.6952290057,-49.2652930319,|Shopping Bougainville - Rua 9 - Setor Marista, Goiania - GO|,,GYN
701710,10/10/2019 09:08:21,1570709298.52,,55293,None,1,-16.6928473941,-49.2358038202,|Avenida Fued Jose Sebba, Goiania|,-16.691447509,-49.2412037775,|Rua 22, 6, Goiania|,,GYN
701709,10/10/2019 09:08:04,1570709281.07,,47640,,1,-16.6925413407,-49.235994257,|Avenida Fued Jose Sebba, Goiania|,-16.7048733299,-49.2646891996,|Rua T-057, 0111000-0223000, Goiania|,,GYN
701708,10/10/2019 09:08:03,1570709279.97,,51459,,1,-16.6742446888,-49.2602323741,|Rua 9, n.671 - Setor Central|,-16.694248,-49.233714,|SECOVIGOIAS - Jardim Goias, Goiania - GO|,,GYN
701707,10/10/2019 09:07:45,1570709262.02,,41316,,1,-16.7287524317,-49.2756403238,|Avenida Aruma Q 176 382, Goias|,-16.6952290057,-49.2652930319,|Shopping Bougainville - Rua 9 - Setor Marista, Goiania - GO|,,GYN
701706,10/10/2019 09:07:40,1570709256.62,,33,None,1,-16.691359,-49.264922,,-16.70058,-49.275962,,,GYN
701705,10/10/2019 09:07:18,1570709234.68,,41316,,1,-16.7287521106,-49.2753057182,|Tron Informatica, Matriz - Avenida Aruma - Parque Amazonia|,-16.6952290057,-49.2652930319,|Shopping Bougainville - Rua 9 - Setor Marista, Goiania - GO|,,GYN
701704,10/10/2019 09:07:16,1570709232.16,,23604,,1,-16.7143466571,-49.2574452236,|Rua 1034 2-162, Goias|,-16.6988716964,-49.2762451619,|Matiz Arte Clube - Setor Bueno, Goiania - GO|,,GYN
701703,10/10/2019 09:07:08,1570709226.54,,21054,,1,-16.7429105417,-49.2859571055,|Praca 15 de Agosto, 8, Goiania|,-16.7000027373,-49.2617615685,|ITGT - Instituto de Treinamento e Pesquisa em Gestalt-terapia de Goiania - Rua 1128 - Setor Marista, Goiania - GO|,,GYN
701702,10/10/2019 09:07:00,1570709217.63,,29831,None,1,-16.7379587262,-49.2693508789,|Avenida Rio Verde Q 8 1146, Goias|,-16.7079959415,-49.2729242519,|Goiania Shopping - Avenida T-10 - Setor Bueno, Goiania - GO|,,GYN
701701,10/10/2019 09:06:53,1570709209.02,,15241,,1,-16.7050849523,-49.2407001927,|Avenida Deputado Jamel Cecilio, 2699, Goiania|,-16.7068058613,-49.2663169652,|Studio Daniel e Luiz - R. T - 0065 - Setor Bueno, Goiania - GO|,,GYN
701700,10/10/2019 09:06:35,1570709192.28,,54462,None,1,-16.697270501,-49.2425670102,|Rua 58, 321, Goiania|,-16.6588371458,-49.2601562664,|Araguaia Shopping, Rua Interna Terminal Rodoviario Go 0, Goiania|,,GYN
701699,10/10/2019 09:06:35,1570709191.29,,41316,,1,-16.7289527897,-49.2749503255,|Rua Harpia Q 177 55, Goias|,-16.6952290057,-49.2652930319,|Shopping Bougainville - Rua 9 - Setor Marista, Goiania - GO|,,GYN
701698,10/10/2019 09:06:20,1570709176.53,,1450,,1,-16.6731966811,-49.2471428588,|Rua 229-A, 66 - Setor Leste Universitario|,-16.6916103316,-49.2781371251,|Praca Gilson Alves De Souza Q 32 50, Goias|,,GYN
701697,10/10/2019 09:06:12,1570709168.57,,54462,None,1,-16.697270501,-49.2425670102,|Rua 58, 321, Goiania|,-16.6588371458,-49.2601562664,|Araguaia Shopping, Rua Interna Terminal Rodoviario Go 0, Goiania|,,GYN
701696,10/10/2019 09:06:04,1570709160.69,,47640,,1,-16.6925413407,-49.235994257,|Avenida Fued Jose Sebba, Goiania|,-16.7048733299,-49.2646891996,|Rua T-057, 0111000-0223000, Goiania|,,GYN
701695,10/10/2019 09:05:55,1570709151.72,,41316,,1,-16.728864812,-49.2756218836,|Avenida Aruma Q 176 382, Goias|,-16.6952290057,-49.2652930319,|Shopping Bougainville - Rua 9 - Setor Marista, Goiania - GO|,,GYN
701694,10/10/2019 09:05:53,1570709150.35,,455,,1,-16.6709557948,-49.2408896238,|Rua 227, 7, Goiania|,-16.703505967,-49.2543844879,|Clinica Ver Gyn - Rua 135 - Setor Marista, Goiania - GO|,,GYN
